"Atlas_Cluster","Final_Cell_Type","Confidence","Rationale"
"0","CD8_T","High","CD8A/CD8B and CCL5/GZMK support a CD8 T-cell identity; CD8 module, marker overlap, and SingleR are concordant."
"1","NK","High","GNLY/FGFBP2/PRF1/GZMB/KLRD1/KLRF1 form a strong cytotoxic NK-cell program with concordant module and SingleR evidence."
"10","Unresolved_Lymphoid","Low","Conflicting lymphoid and immunoglobulin signals, together with extreme sample dominance, prevent confident lineage assignment; retained as unresolved rather than forced."
"11","Treg","High","FOXP3/CTLA4/TNFRSF4/TNFRSF18/ICOS/TIGIT provide a highly concordant Treg program with reference support."
"12","NK","High","GNLY/FGFBP2/GZMB/GZMH/PRF1/KLRD1 provide a strong cytotoxic NK-cell program with concordant reference evidence."
"13","NK","Moderate","NK-associated cytotoxic genes and reference/module evidence favor NK, although TRDC/TRGC expression suggests a possible NK/γδ-T boundary population."
"14","NK","High","Strong NK/cytotoxic program and SingleR support NK; TRDC/TRGC expression is noted but does not outweigh the broader identity evidence."
"15","Monocyte_Myeloid","High","FCN1/FCAR/FPR2/TREM1/IL1B/CXCL2/CXCL3/OLR1 support an inflammatory monocyte/myeloid identity."
"16","Monocyte_Myeloid","High","FCN1/S100A8/S100A9/CD14/VCAN/CSF3R/HK3 provide a strong classical monocyte program."
"17","Dendritic_Cell","High","CD1C/CLEC10A/FCER1A/FLT3 and C1Q-associated genes support a dendritic-cell identity with concordant reference evidence."
"18","Plasma_Cell","High","JCHAIN/MZB1/SDC1/TNFRSF17/DERL3 and immunoglobulin genes provide a clear plasma-cell program."
"19","pDC","High","LILRA4/CLEC4C/TCF4/PTCRA support a plasmacytoid dendritic-cell identity with concordant module and SingleR evidence."
"2","CD4_T","High","CCR7/IL7R/CD4/LTB/S1PR1/CCR6 support a CD4 T-cell identity; reference annotation indicates a Th17-like state."
"3","MAIT","High","TRAV1-2/SLC4A10/KLRB1/IL23R/CCL20/DPP4 provide highly concordant MAIT evidence."
"4","CD8_T","High","CD8B/CD3D/GZMA/CCL5 support a CD8 T-cell identity with concordant module, marker and reference evidence."
"5","NK","High","KLRF1/KLRC1/NCAM1/XCL1/IL2RB/CD160 support an NK-cell identity with concordant module and SingleR evidence."
"6","MAIT","Moderate","TRAV1-2 and IL7R/AQP3-associated lymphocyte features support MAIT; SingleR strongly agrees, although the CD4 module is also elevated."
"7","CD8_T","Moderate","CD8A with PDCD1/TNFRSF9/ITGA4 supports an activated CD8 T-cell state; CD8 module and SingleR agree."
"8","CD8_T","High","CD8A/CD8B/CCL5/CST7 provide strong CD8 T-cell evidence across marker, module and reference approaches."
"9","B_Cell","High","CD19/MS4A1/CD79A/CD22/CD24/FCRL1/TCL1A provide a clear B-cell program with complete marker-program overlap."
